id,class_room_id,dayoftheWeek,from,to
385,95,mon,13:30,16:15
386,95,mon,16:30,19:15
387,95,tue,13:30,16:15
388,95,tue,16:30,19:15
389,95,wed,13:30,16:15
390,95,wed,16:30,19:15
391,95,thu,13:30,16:15
392,95,thu,16:30,19:15
393,95,fri,13:30,16:15
394,95,fri,16:30,19:15
395,148,tue,13:30,17:15
396,148,wed,13:30,17:15
397,148,thu,13:30,17:15
398,93,tue,13:30,14:45
399,93,thu,13:30,14:45
400,102,wed,09:00,10:15
401,102,fri,09:00,10:15
402,102,mon,09:00,10:15
403,102,wed,10:30,11:45
404,100,mon,10:30,11:45
405,100,wed,12:00,13:15
406,94,mon,13:30,14:45
407,94,fri,12:00,13:15
408,103,mon,12:00,13:15
409,103,fri,10:30,11:45
410,149,tue,13:30,17:15
411,149,wed,13:30,17:15
412,149,thu,13:30,17:15
413,93,tue,10:30,11:45
414,93,thu,10:30,11:45
415,93,tue,12:00,13:15
416,93,thu,12:00,13:15
417,93,tue,15:00,15:50
418,2,mon,10:30,11:45
419,2,wed,12:00,13:15
420,93,tue,09:00,10:15
421,93,thu,09:00,10:15
422,103,mon,09:00,10:15
423,103,wed,10:30,11:45
424,87,mon,12:00,13:15
425,87,fri,10:30,11:45
426,122,tue,10:30,11:45
427,122,thu,10:30,11:45
428,128,wed,13:30,14:45
429,128,fri,13:30,14:45
430,121,mon,12:00,13:15
431,121,fri,10:30,11:45
432,121,mon,10:30,11:45
433,121,wed,12:00,13:15
434,128,mon,13:30,14:45
435,128,fri,12:00,13:15
436,120,mon,09:00,10:15
437,120,wed,10:30,11:45
438,132,tue,13:30,14:45
439,132,thu,13:30,14:45
440,120,wed,15:00,16:15
441,120,fri,15:00,16:15
442,122,wed,13:30,14:45
443,122,fri,13:30,14:45
444,120,tue,15:00,16:15
445,120,thu,15:00,16:15
446,120,tue,09:00,10:15
447,120,thu,09:00,10:15
448,133,tue,16:30,17:45
449,133,thu,16:30,17:45
450,123,tue,10:30,11:45
451,123,thu,10:30,11:45
452,124,tue,13:30,14:45
453,124,thu,13:30,14:45
454,120,tue,12:00,13:15
455,120,thu,12:00,13:15
456,131,tue,15:00,16:15
457,131,thu,15:00,16:15
458,120,mon,15:00,16:15
459,120,wed,16:30,17:45
460,133,tue,09:00,10:15
461,133,thu,09:00,10:15
462,122,tue,15:00,16:15
463,122,thu,15:00,16:15
464,120,mon,12:00,13:15
465,120,fri,10:30,11:45
466,128,tue,15:00,16:15
467,128,thu,15:00,16:15
468,131,mon,10:30,11:45
469,131,wed,12:00,13:15
470,121,tue,10:30,11:45
471,121,thu,10:30,11:45
472,121,mon,13:30,14:45
473,121,fri,12:00,13:15
474,127,mon,15:00,16:15
475,127,wed,16:30,17:45
476,121,mon,16:30,17:45
477,121,fri,16:30,17:45
478,122,tue,09:00,10:15
479,122,thu,09:00,10:15
480,133,mon,15:00,16:15
481,133,wed,16:30,17:45
482,132,mon,10:30,11:45
483,132,wed,12:00,13:15
484,120,tue,10:30,11:45
485,120,thu,10:30,11:45
486,121,tue,13:30,14:45
487,121,thu,13:30,14:45
488,133,wed,13:30,14:45
489,133,fri,13:30,14:45
490,121,wed,15:00,16:15
491,121,fri,15:00,16:15
492,129,wed,13:30,14:45
493,129,fri,13:30,14:45
494,121,mon,15:00,16:15
495,121,wed,16:30,17:45
496,132,tue,12:00,13:15
497,132,thu,12:00,13:15
498,130,wed,13:30,14:45
499,130,fri,13:30,14:45
500,121,tue,16:30,17:45
501,121,thu,16:30,17:45
502,133,tue,12:00,13:15
503,133,thu,12:00,13:15
504,122,mon,10:30,11:45
505,122,wed,12:00,13:15
506,133,tue,13:30,14:45
507,133,thu,13:30,14:45
508,126,wed,09:00,10:15
509,126,fri,09:00,10:15
510,134,mon,10:30,11:45
511,134,wed,12:00,13:15
512,132,tue,15:00,16:15
513,132,thu,15:00,16:15
514,121,tue,12:00,13:15
515,121,thu,12:00,13:15
516,121,mon,09:00,10:15
517,121,wed,10:30,11:45
518,122,tue,12:00,13:15
519,122,thu,12:00,13:15
520,132,mon,15:00,16:15
521,132,wed,16:30,17:45
522,132,tue,16:30,17:45
523,132,thu,16:30,17:45
524,126,fri,10:30,13:15
525,133,mon,10:30,11:45
526,133,wed,12:00,13:15
527,123,tue,13:30,14:45
528,123,thu,13:30,14:45
529,122,tue,16:30,17:45
530,122,thu,16:30,17:45
531,133,tue,15:00,16:15
532,133,thu,15:00,16:15
533,126,wed,15:00,16:15
534,126,fri,15:00,16:15
535,128,wed,15:00,16:15
536,128,fri,15:00,16:15
537,122,tue,13:30,14:45
538,122,thu,13:30,14:45
539,133,tue,10:30,11:45
